bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,doroJuso,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode
1141010900,아파트,복도식,개별난방,위탁관리,분양,서울특별시 서대문구 통일로 279-75,290,SH공사,서울특별시 서대문구 현저동 1019- 독립문파크빌,2,우정건설,A12008001,4,023931478,23133.3,0,0,290,0,독립문파크빌,30146.26,023935258,15, ,20001213,5,290,15,17226,03732
1141010900,아파트,계단식,개별난방,위탁관리,분양,서울특별시 서대문구 독립문공원길 17,1300,독립문 극동아파트 조합,서울특별시 서대문구 현저동 200- 독립문극동,3,극동건설(주),A12008003,12,0267496899,140733.08,368,0,350,582,독립문극동,172036,023930180,23, ,19981210,29,1300,23,110170.05,03733
1141011100,아파트,혼합식,개별난방,자치관리,분양,서울특별시 서대문구 홍제내길 168,192,백련연합 재건축 주택조합,서울특별시 서대문구 홍제동 457- 홍제남양,3,남양건설(주),A12009101,3,023956309,20596.6,44,0,72,76,홍제남양,28848.76,023956308,23, ,19990930,0,192,23,15760.72,03640
1141011100,아파트,계단식,개별난방,위탁관리,분양,서울특별시 서대문구 통일로39가길 57,704,홍제11구역 재개발조합,서울특별시 서대문구 홍제동 331- 홍제현대아파트,1,현대산업개발,A12009102,8,023962958,80523.5622,264,0,0,440,홍제현대아파트,86368.43,023950791,15, ,19920708,22,704,15,63142.32,03638
1138010400,아파트,혼합식,개별난방,자치관리,분양,서울특별시 은평구 갈현로33길 24,278,현대산업개발(주),서울특별시 은평구 갈현동 537- 갈현현대1차,2,현대산업개발,A12281702,2,023530427,28648.016,67,0,134,77,갈현현대1차,35370,023820027,16, ,19970508,1,278,16,21523.24,03319
1138010400,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 은평구 갈현로23길 41,193,한솔건설(주),서울특별시 은평구 갈현동 539- 갈현한솔아파트,0,한솔건설(주),A12281801,1,023553415,14165.98,47,0,100,46,갈현한솔아파트,23446.88,023533415,15, ,19971209,6,193,15,14165.98,03326
1138010500,아파트,계단식,개별난방,위탁관리,분양,서울특별시 은평구 갈현로17길 17,189,이수건설,서울특별시 은평구 구산동 159-10 브라운스톤구산,5,이수건설(주),A12282102,6,023896673,21402,30,0,24,135,브라운스톤구산,33178.83,023896670,15, ,20060327,8,189,15,16389.03,03429
1138010500,아파트,혼합식,개별난방,자치관리,분양,서울특별시 은평구 갈현로15길 53,171,인황건설,서울특별시 은평구 구산동 162-1 경향파크아파트,1,인황건설,A12282201,2,023587707,20459.55,42,0,0,129,경향파크아파트,21424.16,023587823,15, ,19891110,4,171,15,16094.57,03428
1138010200,아파트,계단식,개별난방,위탁관리,분양,서울특별시 은평구 통일로 590,370,동익건설(주),서울특별시 은평구 녹번동 276- 녹번대림,0,(주)대림산업,A12283603,3,023877446,42238.02,38,0,0,332,녹번대림,48802,023877448,19, ,19930928,10,370,19,33262.44,03374
1138010600,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 은평구 서오릉로 94,357,삼성건설주식회사,서울특별시 은평구 대조동 231- 대조삼성타운,2,삼성건설주식회사,A12284501,2,023878890,34624.7877,35,0,240,82,대조삼성타운,50755.92,023877763,21, ,19971104,7,357,21,25505.45,03392
1138010300,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 은평구 불광로 90,198,불광1동 재건축조합,서울특별시 은평구 불광동 631-1 불광대호2차,4,(주)대호,A12284701,2,023531490,20079.6,32,0,70,96,불광대호2차,27210,023531488,17, ,20000902,8,198,17,15589.68,03364
1138010300,아파트,혼합식,중앙난방,위탁관리,분양,서울특별시 은평구 통일로 780,1340,라이프주택건설(주),서울특별시 은평구 불광동 248- 불광미성,0,라이프주택건설(주),A12285703,10,023838572,150359.44,180,0,0,1160,불광미성,157033,023838570,15, ,19881013,23,1340,15,109700,03356
1138010100,아파트,복도식,개별난방,위탁관리,임대,서울특별시 은평구 은평터널로 66,464,sh공사,서울특별시 은평구 수색동 415-4 수색대림한숲타운제2,2,대림건설,A12287203,3,023089855,28675.2,0,0,464,0,수색대림한숲타운제2,28675.86,023089854,15, ,20030710,6,464,15,15209.92,03492
1138010100,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 은평구 은평터널로 65,976,수색2-1구역 재개발조합,서울특별시 은평구 수색동 415-1 이편한세상 수색 에코포레,2,대림산업주식회사,A12287204,12,023082095,108555.35,275,0,256,445,이편한세상 수색 에코포레,133684.266,023082094,15,수색대림한숲.apti.co.kr,20030710,29,976,15,84543.465,03491
1138010900,아파트,복도식,개별난방,위탁관리,분양,서울특별시 은평구 은평터널로 163,167,신성건설,서울특별시 은평구 신사동 356- 뉴신사신성,1,신성건설,A12289401,2,023051161,19322.3175,0,0,0,167,뉴신사신성,20138,023051163,15, ,19931129,2,167,15,14098.14,03445
1138010900,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 은평구 은평터널로7길 2,180,조합,서울특별시 은평구 신사동 358- 신성수정,2,(주)신성건설,A12289402,1,023760053,18261.15,0,0,95,85,신성수정,24596,023053339,17,해당사항없음,19961219,5,180,17,12873.45,03445
1138010800,아파트,계단식,개별난방,위탁관리,분양,서울특별시 은평구 갈현로3나길 23,400,은평주택재건축조합,서울특별시 은평구 역촌동 232- 역촌센트레빌,2,동부건설,A12289501,7,023521401,43272.7313,71,0,82,247,역촌센트레빌,66632.1,023521340,15,cafe.daum.net/yccv,20110104,15,400,15,33965.97,03433
1138010700,아파트,계단식,개별난방,위탁관리,분양,서울특별시 은평구 백련산로 36,748,응암9구역주택재개발정비사업조합,서울특별시 은평구 응암동 761- 백련산힐스테이트3차,0,주시회사 현대건설,A12290901,10,023739468,80032.4,135,0,224,389,백련산힐스테이트3차,122530.16,023739466,15,www.hills3.co.kr,20111222,31,748,15,61715.17,03477
1138010700,아파트,혼합식,개별난방,자치관리,분양,서울특별시 은평구 가좌로7나길 30,292,응암4-1 재개발조합,서울특별시 은평구 응암동 694-1 응암우성,1,우성건설(주),A12293002,4,023040820,32132.24,120,0,0,172,응암우성,32132.24,023055337,15, ,19880701,8,292,15,26337.38,03483
1123010400,아파트,계단식,개별난방,위탁관리,분양,서울특별시 동대문구 전농로16길 51,719,삼성물산,서울특별시 동대문구 전농동 688- 래미안아름숲,2,삼성물산,A13002002,15,0222444408,82814.93,171,0,107,441,래미안아름숲,128425.39,0222444402,15, ,20120726,28,719,15,63491.05,02508
1123010500,아파트,계단식,개별난방,위탁관리,분양,서울특별시 동대문구 황물로15길 25,516,두산건설,서울특별시 동대문구 답십리동 998- 답십리두산위브,2,두산건설,A13003003,7,0222460193,51817.08,36,0,228,252,답십리두산위브,73428.2,0222460192,20, ,20070426,16,516,20,39195.36,02620
1123010500,아파트,계단식,개별난방,위탁관리,분양,서울특별시 동대문구 서울시립대로 14,725,태양아파트재건축정비사업조합,서울특별시 동대문구 답십리동 1002- 청계한신휴플러스,2,한신공영(주),A13003005,10,0222155607,57520.63,142,0,197,386,청계한신휴플러스,106252.2,0222155605,24,청계한신휴플러스.apti.co.kr,20100812,18,725,24,56432.31,02593
1123010500,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 동대문구 전농로10길 20,1110,우성,서울특별시 동대문구 답십리동 80- 답십리청솔우성,0,우성건설,A13003202,14,0222446286,117843.21,294,0,396,420,답십리청솔우성,152476.6,0222446285,25, ,20000318,25,1110,25,93101.28,02536
1123010500,아파트,계단식,개별난방,위탁관리,분양,서울특별시 동대문구 답십리로59길 7,231,(주)피플앤하우스,서울특별시 동대문구 답십리동 997- 세양청마루,2,세양건설산업(주),A13003402,3,0222131533,24435.18,0,0,0,231,세양청마루,32751.79,0222451532,22, ,20050427,7,231,22,19628.4,02535
1123010500,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 동대문구 답십리로59길 33,496,우성건설,서울특별시 동대문구 답십리동 989-1 답십리우성그린,3,우성건설,A13003404,5,0264629282,51177.32,0,0,121,375,답십리우성그린,59039.5,0222481675,18, ,19970523,13,496,18,39018.38,02535
1123010500,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 동대문구 답십리로 210-30,600,(주)한신공영,서울특별시 동대문구 답십리동 42- 답십리동답한신,1,(주)한신공영,A13003405,4,0222463819,43285.9446,56,0,460,84,답십리동답한신,45742,0222460525,15, ,19920103,11,600,15,32682.44,02609
1123010300,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 동대문구 정릉천동로 90,261,제기동 한전재건축조합,서울특별시 동대문구 제기동 892-66 제기현대,2,현대건설,A13006002,3,0262388257,27534.01,120,0,92,49,제기현대,36917.76,0262388256,25, ,19991113,5,261,25,20591.06,02568
1123010300,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 동대문구 고산자로 534,1070,한신공영주식회사,서울특별시 동대문구 제기동 1212- 제기한신,2,한신공영주식회사,A13006101,12,029630481,114587.301,264,0,411,395,제기한신,151164,029630480,25,제기한신휴플러스.apti.co.kr,20040511,21,1070,25,88404.08,02467
1123010200,아파트,계단식,개별난방,위탁관리,분양,서울특별시 동대문구 정릉천동로 16,338,두산건설,서울특별시 동대문구 용두동 791- 용두두산위브,2,두산건설,A13007001,6,029578030,36141.9,72,0,90,176,용두두산위브,52345.81,029578003,25, ,20090618,10,338,25,27960.54,02590
1123010200,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 동대문구 무학로26길 30,772,신동아건설,서울특별시 동대문구 용두동 779- 용두신동아,2,신동아건설,A13007004,5,029292726,73026,0,0,376,396,용두신동아,75358.17,029280515,17, ,19941014,15,772,17,53389.62,02588
1123010900,아파트,계단식,개별난방,위탁관리,분양,서울특별시 동대문구 한천로 248,1224,"서한,신동아,두산",서울특별시 동대문구 휘경동 57- 휘경주공1단지,2,대한주택공사,A13009002,13,0222482944,151795.03,424,0,0,800,휘경주공1단지,211420,0222482943,25,hgapt.co.kr,20011115,29,1224,25,116449.09,02512
1123010900,아파트,계단식,개별난방,위탁관리,혼합,서울특별시 동대문구 망우로20길 86,451,휘경 제4구역 주택조합,서울특별시 동대문구 휘경동 368- 브라운스톤휘경,2,이수건설,A13009003,8,0222463773,43035.99,59,0,216,176,브라운스톤휘경,62745,0222463322,15, ,20131025,15,451,15,33008.82,02501
1123010900,아파트,계단식,개별난방,위탁관리,분양,서울특별시 동대문구 외대역동로1길 24,239,휘경15통재건축주택조합,서울특별시 동대문구 휘경동 109- 휘경롯데낙천대,2,(주)롯데건설,A13009101,2,0262186889,27275.59,97,0,38,104,휘경롯데낙천대,40606,0262186888,19, ,20030715,7,239,19,21791.57,02437
1123010900,아파트,계단식,개별난방,위탁관리,분양,서울특별시 동대문구 장안벚꽃로5길 10,216,휘경49재건축조합,서울특별시 동대문구 휘경동 365- 휘경동일하이빌,1,(주)동일토건,A13009202,7,0233944146,24520.708,108,0,56,52,휘경동일하이빌,33352,0233944147,15,dih365.apti.co.kr/default.asp,20051005,8,216,15,19716.628,02513
1123010900,아파트,계단식,개별난방,위탁관리,분양,서울특별시 동대문구 한천로 300,445,(주)동일,서울특별시 동대문구 휘경동 366- 휘경동일스위트리버,2,(주)동일,A13009206,9,0222477589,47304.909,42,0,103,300,휘경동일스위트리버,68345,0222477588,23,www.k-apt.go.kr,20070518,12,445,23,36703.448,02511
1123010600,아파트,계단식,개별난방,위탁관리,분양,서울특별시 동대문구 장한로26다길 84,193,장안삼사공재견축주택조합,서울특별시 동대문구 장안동 569- 장안2차현대홈타운,2,현대건설,A13010001,3,0222470376,20900.58,29,0,0,164,장안2차현대홈타운,29160.95,0222470375,15, ,20051220,9,193,15,16618.66,02639
1123010600,주상복합,계단식,개별난방,위탁관리,분양,서울특별시 동대문구 장한로 119,254,삼성중공업,서울특별시 동대문구 장안동 371-1 장안삼성쉐르빌,7,삼성중공업,A13010002,1,0222136719,38582.34,249,5,0,0,장안삼성쉐르빌,75865.35,0222136718,30, ,20020805,5,254,30,28570.34,02624
1123010600,아파트,계단식,중앙난방,위탁관리,분양,서울특별시 동대문구 한천로 224,456,한국도시개발(주),서울특별시 동대문구 장안동 95-1 장안현대,1,현대건설,A13010003,8,0222444531,48226.56,456,0,0,0,장안현대,48226.56,0222445647,12, ,19840630,19,456,12,43511.4,02517
1123010800,아파트,계단식,개별난방,위탁관리,분양,서울특별시 동대문구 회기로26길 15,190,현대건설,서울특별시 동대문구 회기동 351- 회기힐스테이트,2,현대건설,A13070101,5,029570595,21943.04,34,0,0,156,회기힐스테이트,33483.89,029570600,17,121.128.101.187,20111220,8,190,17,17348.98,02460
1123010200,아파트,복도식,개별난방,위탁관리,임대,서울특별시 동대문구 고산자로29길 18,210,용두1구역 주택재개발조합,서울특별시 동대문구 용두동 792-1 래미안용두1차,2,삼성건설,A13070302,1,029591473,8387.4,0,0,210,0,래미안용두1차,20804.34,029591472,18, ,20110428,2,210,18,8387.4,02567
1123010700,아파트,복도식,개별난방,위탁관리,임대,서울특별시 동대문구 제기로26길 26,150,SH공사,서울특별시 동대문구 청량리동 213- 청량리홍릉동부임대,4,(주)동부건설,A13071201,1,029632697,7191.6,0,0,150,0,청량리홍릉동부임대,12176.12,029632696,13,happy.i-sh.co.kr/main.do?deptid=70183,20010924,2,150,13,4980.75,02484
1123010500,아파트,계단식,개별난방,위탁관리,분양,서울특별시 동대문구 한천로37길 33,472,.,서울특별시 동대문구 답십리동 1000- 래미안엘파인,2,삼성물산,A13075402,9,0222178856,48152.0555,79,0,166,227,래미안엘파인,49038.77,0222178851,20,www.raemianelfine.com/index.php,20110623,0,472,20,38292.64,02535
1123010500,아파트,복도식,개별난방,위탁관리,임대,서울특별시 동대문구 한천로11길 10,492,동아건설,서울특별시 동대문구 답십리동 10-1 답십리동아제2,2,동아건설,A13075404,3,0222138627,25785.4248,0,0,492,0,답십리동아제2,25785,0222138626,18,happy.i-sh.co.kr,20011123,5,492,18,15630.84,02612
1123010500,아파트,복도식,개별난방,위탁관리(직영+위탁),임대,서울특별시 동대문구 답십리로56길 21-1,310,두산건설,서울특별시 동대문구 답십리동 990-1 답십리두산제2,1,SH공사,A13075405,2,0222135742,17998.6,0,0,310,0,답십리두산제2,18002.03,0222135741,12,http://happy.i-sh.co.kr,20000802,4,310,12,10208.3,02613
