bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,address,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode,cleaned_address,lat,lon,전기사용량
1121510500,아파트,복도식,개별난방,위탁관리,분양,서울특별시 광진구 능동로4길 78,214.0,자양제일은행직장주택조합외3,서울특별시 광진구 자양동 793- 자양우방리버파크,0.0,(주) 우방,A14319302,3,0222011382,21278.38,0.0,0.0,72.0,142.0,자양우방리버파크,28666.19,0222011381,25, ,20031014.0,3.0,214.0,25.0,16377.21,5095.0,서울특별시 광진구 자양동 793-,37.531278637302,127.070478018326,0
1121510500,아파트,복도식,개별난방,위탁관리,분양,서울특별시 광진구 뚝섬로33길 20,329.0,한라아파트,서울특별시 광진구 자양동 762- 자양한라,2.0,한라건설,A14319307,2,0262351689,35087.781,0.0,0.0,147.0,182.0,자양한라,43308.401,024441689,22, ,19960831.0,6.0,329.0,22.0,24211.32,5070.0,서울특별시 광진구 자양동 762-,37.5359272031596,127.069816767733,0
1121510500,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 광진구 아차산로36길 39,625.0,자양연합주택조합,서울특별시 광진구 자양동 783-1 자양우성7차,2.0,(주)우성건설,A14319311,5,024578388,74113.284,0.0,0.0,313.0,312.0,자양우성7차,75000.0,024578387,22, ,19980706.0,12.0,625.0,22.0,45259.38,5067.0,서울특별시 광진구 자양동 783-1,37.5363129421233,127.074358517781,0
1121510300,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 광진구 구의강변로3가길 39,273.0,현대건설,서울특별시 광진구 구의동 587-54 구의현대7단지,2.0,(주)마이크로장,A14320001,3,0222019773,26787.93,0.0,0.0,142.0,131.0,구의현대7단지,35455.08,0222019771,22, ,19971226.0,1.0,273.0,22.0,19649.43,5048.0,서울특별시 광진구 구의동 587-54,37.5368269410374,127.090991709293,0
1121510300,주상복합,계단식,개별난방,위탁관리,분양,서울특별시 광진구 구의강변로 64,220.0,드림링크(주),서울특별시 광진구 구의동 589-10 구의대림아크로리버,5.0,대림산업(주),A14320002,2,024551698,54977.2804,76.0,144.0,0.0,0.0,구의대림아크로리버,54977.2804,024551695,37,아크로리버.aptgate.co.kr,20040113.0,0.0,220.0,37.0,32176.9876,5116.0,서울특별시 광진구 구의동 589-10,37.5358285666892,127.092583672192,0
1121510300,주상복합,계단식,개별난방,위탁관리,분양,서울 광진구 구의강변로 102,119.0, ,서울특별시 광진구 구의동 199-23 구의현대13차폴라트리움,,현대건설,A14320003,1,024471189,24529.71,16.0,60.0,0.0,16.0,구의현대13차폴라트리움,24529.71,024441189,18, ,,0.0,92.0,18.0,12699.36,,서울특별시 광진구 구의동 199-23,37.539412011464,127.094645492447,0
1121510300,아파트,계단식,개별난방,위탁관리,분양,서울특별시 광진구 구의강변로 42,354.0,MBC외 6개 직장조합,서울특별시 광진구 구의동 546-7 구의강변우성,2.0,우성건설(주),A14320302,3,024460946,38617.86,0.0,0.0,0.0,354.0,구의강변우성,38674.2,024465274,21,apti.co.kr,19921226.0,9.0,354.0,21.0,30005.04,5116.0,서울특별시 광진구 구의동 546-7,37.5355790873762,127.092918041614,0
1121510300,아파트,혼합식,중앙난방,위탁관리,분양,서울특별시 광진구 광나루로56길 29,1592.0,프라임산업(주),서울특별시 광진구 구의동 631-1 구의현대프라임,3.0,현대건설(주),A14320304,15,0262134426,189158.322,168.0,228.0,654.0,542.0,구의현대프라임,246400.0,0234374425,30,www.ghprime.com,19970328.0,28.0,1592.0,30.0,148388.1,5119.0,서울특별시 광진구 구의동 631-1,37.5369576884242,127.096536670188,0
1121510400,연립주택,계단식,개별난방,위탁관리,분양,서울특별시 광진구 아차산로69길 29,159.0,광장11차현대지역주택조합,서울특별시 광진구 광장동 579- 광장11현대홈타운,1.0,현대건설,A14321001,8,024560169,17363.57,0.0,0.0,0.0,159.0,광장11현대홈타운,27590.14,024560155,4, ,20031028.0,20.0,159.0,4.0,13505.46,4984.0,서울특별시 광진구 광장동 579-,37.5434483687579,127.096904532808,0
1121510100,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 광진구 용마산로 174,182.0,대진연립 재건축조합,서울특별시 광진구 중곡동 292- 중곡SK,3.0,(주)SK건설,A14322001,3,0234374184,18802.78,40.0,0.0,76.0,66.0,중곡SK,25412.83,0234374185,21, ,19991130.0,0.0,182.0,21.0,14377.48,,서울특별시 광진구 중곡동 292-,37.5685684109405,127.086381803739,0
