bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,address,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode,cleaned_address,lat,lon,전기사용량
1162010100,아파트,계단식,개별난방,위탁관리,분양,서울특별시 관악구 관악로 125,254.0,삼성중공업,서울특별시 관악구 봉천동 1591-2 서울대입구삼성아파트,3.0,삼성중공업,A15105005,3,0262788982,26742.58,63.0,0.0,119.0,72.0,서울대입구삼성아파트,35903.0,028718982,18, ,19991028.0,6.0,254.0,18.0,20465.0,8833.0,서울특별시 관악구 봉천동 1591-2,37.4764721426091,126.952079961311,0
1162010100,아파트,계단식,개별난방,위탁관리,분양,서울특별시 관악구 솔밭로7길 16,297.0,현대산업개발,서울특별시 관악구 봉천동 1713- 낙성대현대홈타운,0.0,현대산업개발,A15105006,2,028731985,39182.719,141.0,0.0,0.0,156.0,낙성대현대홈타운,52610.465,028731984,21, ,20020225.0,10.0,297.0,21.0,29449.943,8741.0,서울특별시 관악구 봉천동 1713-,37.4798859472233,126.963907514458,0
1162010100,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 관악구 관악로30길 27,2104.0,재건축조합,서울특별시 관악구 봉천동 1717- 관악푸르지오아파트,4.0,대우건설,A15105302,23,0267463400,202953.61,118.0,0.0,1158.0,828.0,관악푸르지오아파트,272722.89,028820185,24,www.kaprugio.com,20040826.0,36.0,2104.0,24.0,152563.11,8734.0,서울특별시 관악구 봉천동 1717-,37.4889663493891,126.960643252066,0
1162010100,아파트,복도식,개별난방,위탁관리,임대,서울특별시 관악구 구암길 106,1843.0,삼성물산,서울특별시 관악구 봉천동 1712-1 관악드림타운제2,5.0,삼성물산,A15105503,5,0232856502,85295.883,0.0,0.0,1843.0,0.0,관악드림타운제2,114254.12,0232855302,24, ,20030906.0,24.0,1843.0,24.0,60376.68,8725.0,서울특별시 관악구 봉천동 1712-1,37.491279413488,126.948664640266,0
1162010100,아파트,복도식,개별난방,위탁관리,임대,서울특별시 관악구 관악로30길 40,717.0,우성건설(주),서울특별시 관악구 봉천동 1706-1 봉천우성제2,2.0,우성건설(주),A15105602,2,028894786,36079.44,0.0,0.0,717.0,0.0,봉천우성제2,36085.9,028894785,21, ,20001213.0,0.0,717.0,21.0,21811.14,8735.0,서울특별시 관악구 봉천동 1706-1,37.4851434998778,126.961578514322,0
1162010100,아파트,계단식,개별난방,위탁관리,분양,서울특별시 관악구 인헌12길 46-2,180.0,SH공사,서울특별시 관악구 봉천동 1707- 봉천은천1단지,3.0,자유종합건설(주),A15106101,4,0232854091,15247.08,0.0,0.0,0.0,180.0,봉천은천1단지,28876.0,028712632,16, ,20010625.0,4.0,180.0,16.0,15247.08,8797.0,서울특별시 관악구 봉천동 1707-,37.4716685170903,126.965275037928,0
1162010100,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 관악구 인헌12길 46-1,384.0,도시개발공사,서울특별시 관악구 봉천동 1707-1 봉천은천2단지,3.0,(주)일성건설,A15106103,8,028773778,29808.452,0.0,0.0,384.0,0.0,봉천은천2단지,41621.01,028873168,15, ,20000918.0,7.0,384.0,15.0,21356.44,8797.0,서울특별시 관악구 봉천동 1707-1,37.4706668327352,126.964563654363,0
1162010300,아파트,계단식,개별난방,위탁관리,분양,서울특별시 관악구 남부순환로256라길 25,170.0,재건축 조합,서울특별시 관악구 남현동 1136- 남현동한일유앤아이,1.0,한일건설,A15108001,3,025985718,18546.27,18.0,0.0,12.0,140.0,남현동한일유앤아이,26068.0,025985718,11,남현한일유엔아이.apt.co.kr,20050330.0,9.0,170.0,11.0,14893.06,8803.0,서울특별시 관악구 남현동 1136-,37.4716280775458,126.973712308909,0
1162010300,아파트,계단식,개별난방,위탁관리,분양,서울특별시 관악구 남현길 91,174.0,칠성화성재건축조합,서울특별시 관악구 남현동 1135- 남현우림루미아트,2.0,우림건설,A15108003,4,0234871890,18874.06,20.0,0.0,0.0,154.0,남현우림루미아트,24957.519,0234871894,13, ,20041229.0,9.0,174.0,13.0,15307.5,8809.0,서울특별시 관악구 남현동 1135-,37.4726996250015,126.975269854648,0
1162010100,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 관악구 관악로 285,1261.0,동아건설,서울특별시 관악구 봉천동 1703- 성현동아,3.0,동아건설,A15176202,10,028895174,144013.14,355.0,0.0,262.0,644.0,성현동아,185932.69,028895173,24,성현동아.apti.co.kr,20000509.0,26.0,1261.0,24.0,111028.35,8726.0,서울특별시 관악구 봉천동 1703-,37.4893683065275,126.955131608572,0
1162010200,아파트,계단식,개별난방,위탁관리,분양,서울특별시 관악구 문성로 86,171.0,신라연립,서울특별시 관악구 신림동 1700- 라이프아파트,1.0,라이프건설,A15177101,1,028681872,17619.914,22.0,0.0,77.0,72.0,라이프아파트,17619.914,028681871,22, ,19960327.0,4.0,171.0,22.0,13150.95,8863.0,서울특별시 관악구 신림동 1700-,37.4771351654163,126.913159063631,0
1162010100,아파트,복도식,개별난방,위탁관리,임대,서울특별시 관악구 양녕로 31,560.0,서울시,서울특별시 관악구 봉천동 1708-2 봉천두산3단지,3.0,두산건설,A15178203,3,0232854236,33773.824,0.0,0.0,560.0,0.0,봉천두산3단지,33773.83,0232854235,23,happy.i-sh.co.kr/main.do?deptid=70167,20001228.0,5.0,560.0,23.0,17556.18,8751.0,서울특별시 관악구 봉천동 1708-2,37.4851598206672,126.945757007246,0
1162010200,아파트,복도식,개별난방,위탁관리,임대,서울특별시 관악구 광신길 86,818.0,대한주택공사,서울특별시 관악구 신림동 1713- 신림주공2단지,1.0,금강종합건설,A15179403,6,0232850752,31910.18,0.0,0.0,818.0,0.0,신림주공2단지,63137.11,0232850751,25, ,20000803.0,10.0,818.0,25.0,31910.18,8848.0,서울특별시 관악구 신림동 1713-,37.4644976172183,126.926906437819,0
1162010200,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 관악구 난곡로 167,465.0,난곡아파트 재건축조합,서울특별시 관악구 신림동 1727- 임광관악파크,0.0,임광,A15179701,5,028684535,36786.51,79.0,0.0,215.0,171.0,임광관악파크,63357.34,028307227,25, ,20030929.0,11.0,465.0,25.0,36786.51,8858.0,서울특별시 관악구 신림동 1727-,37.4693712854316,126.918648843524,0
1162010100,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 관악구 구암5가길 49,203.0,봉천동양연립재건축조합,서울특별시 관악구 봉천동 1716- 봉천벽산타운2차,3.0,벽산건설,A15180701,1,028881892,20284.93,37.0,0.0,72.0,94.0,봉천벽산타운2차,30975.0,028881897,19, ,20030612.0,0.0,203.0,19.0,15564.18,8724.0,서울특별시 관악구 봉천동 1716-,37.4925170944347,126.946162048315,0
1162010100,아파트,계단식,개별난방,위탁관리,분양,서울특별시 관악구 성현로 80,3544.0,"삼성물산,동아건설",서울특별시 관악구 봉천동 1712- 관악드림타운,2.0,"삼성물산,동아건설",A15180705,44,0266721058,389395.928,1032.0,0.0,1044.0,1468.0,관악드림타운,531140.0,0266721055,27,WWW.dreamtownapt.com,20030906.0,92.0,3544.0,27.0,302517.6,8725.0,서울특별시 관악구 봉천동 1712-,37.4898474387668,126.952985510916,0
1162010100,아파트,계단식,개별난방,위탁관리,분양,서울특별시 관악구 청룡길 78,374.0,봉천10구역주택재개발정비사업조합,서울특별시 관악구 봉천동 1560-61 서울대입구아이원 (1560-61),2.0,풍림산업(주),A15184101,7,028727017,36225.133,45.0,0.0,159.0,170.0,서울대입구아이원 (1560-61),48356.99,028727006,15, ,20061130.0,14.0,374.0,15.0,29075.29,8831.0,서울특별시 관악구 봉천동 1560-61,37.4783125177698,126.945373832508,0
1162010200,아파트,복도식,개별난방,자치관리,분양,서울특별시 관악구 문성로 74,492.0,건영,서울특별시 관악구 신림동 746-43 신림건영1차,0.0,건영,A15185704,3,028543728,37092.24,0.0,0.0,216.0,276.0,신림건영1차,37550.0,028543718,12, ,19841016.0,6.0,492.0,12.0,27001.8,8863.0,서울특별시 관악구 신림동 746-43,37.4767561074089,126.912058124803,0
