전기사용금액,가스사용금액,난방사용금액,전기사용량,가스사용량,난방사용량,냉수사용량,온수사용량,kaptCode,냉수사용금액,온수사용금액,집계날짜
0,0,0,0,0,0,0,0,A13778213,0,0,202401
0,0,67827926,0,0,81901,3159,3159,A13778306,0,7897500,202401
0,0,0,0,0,0,0,0,A13779431,0,0,202401
9271440,0,0,0,0,0,0,0,A13780201,0,0,202401
10924389,0,37746709,52796,0,0,3314,1276,A13780402,3995190,3190000,202401
23868429,0,36996380,69677,0,22687,4122,1611,A13782601,5137510,4833000,202401
41112236,0,0,194771,0,0,11847,5982,A13782602,13598110,24562092,202401
45794820,0,0,214986,0,0,6327,0,A13782803,5487270,0,202401
74279187,0,268965480,390778,0,0,13300,5161,A13782804,17964900,13005930,202401
26011720,0,0,85624,0,0,4515,0,A13782902,5251530,0,202401
18702660,0,0,79037,0,0,3698,0,A13783802,5507330,0,202401
13902400,11840,0,70857,11,0,3213,0,A13784401,3719360,0,202401
37682748,0,111563590,129402,0,0,7916,2273,A13785005,9606430,6250750,202401
66515662,0,0,213674,0,0,12537,0,A13785008,13650110,0,202401
33526830,0,0,113522,0,0,8039,0,A13785201,9409250,0,202401
133392275,0,154979718,600332,0,1385,11233,3785,A13822301,14265030,28387500,202401
0,0,0,0,0,0,0,0,A13822702,0,0,202401
28386233,0,0,124913,0,0,3741,0,A13824001,4451440,0,202401
63547870,666760,0,236156,0,0,9300,0,A13824002,10322440,0,202401
17456025,0,39677125,0,0,0,0,0,A13824003,1374575,6622000,202401
286411359,0,664870387,1446641,0,271334,0,16956,A13824005,3567915,84780000,202401
551958459,0,1094652670,2206199,0,528509,137535,50412,A13824006,146589140,246479800,202401
109559001,0,66881910,214339,0,555650,7516,2828,A13872502,9388300,29089770,202401
10855200,34320,0,12160,1326,0,249,0,A13872504,275000,0,202401
19174613,0,0,98326,0,0,6159,0,A13876109,6205980,0,202401
17385660,0,0,92705,0,0,4043,0,A13876111,4693230,0,202401
12905640,0,294220,61405,0,0,3351,0,A13876112,4278250,0,202401
118707150,0,142687650,536265,0,1290,31488,13017,A13876114,37187060,67037550,202401
75146964,0,137781785,269913,0,1063884,10603,6505,A13877501,12892930,43574740,202401
32256980,0,827620,147029,0,0,9096,0,A13880105,10509790,0,202401
10177570,0,0,46734,0,0,0,0,A13880201,920000,0,202401
26687133,0,0,122868,0,0,8311,0,A13920207,9086990,0,202401
52025430,521940,0,0,0,0,0,0,A13920209,16818320,0,202401
15468125,0,0,70432,0,0,0,0,A13920501,0,0,202401
74729410,0,195881540,306559,0,0,17846,6494,A13920506,22509480,22729000,202401
642800,571860,0,0,0,0,0,0,A13920703,2000000,0,202401
96610355,0,227097253,435300,0,124114,0,10624,A13920706,16214640,0,202401
114610374,0,247911400,549045,0,91548,0,14348,A13920707,3812980,57392000,202401
65073270,0,161144860,355485,0,85806,15068,12804,A13920802,24179790,55569360,202401
104667210,0,216322920,537032,0,94312,0,12459,A13920803,17600000,56065500,202401
128118556,0,268482450,618676,0,107132,0,40544,A13921005,1072800,95259800,202401
2198900,0,0,9081,0,0,0,0,A13922002,0,0,202401
17600580,0,0,78247,0,0,4929,0,A13922103,5736260,0,202401
8705695,10180,26935360,0,0,0,0,0,A13922105,2776330,0,202401
44551838,0,104867130,152730,0,578076,6117,4363,A13922108,12262860,0,202401
104271642,0,269677102,515127,0,97368,0,11832,A13922114,12948930,86239600,202401
35329219,0,83626920,167119,0,29892,0,3795,A13922406,3750530,0,202401
13818440,0,0,58618,0,0,0,0,A13922901,45980,0,202401
37677776,0,0,147733,0,0,9429,0,A13922905,11985350,0,202401
39230020,0,0,199234,0,0,598,0,A13922907,563500,0,202401
32297840,0,0,186358,0,0,9169,0,A13922908,10423150,0,202401
5010220,0,69471050,0,0,0,0,0,A13922909,1045220,0,202401
4732220,0,0,0,0,0,0,0,A13922910,349975,0,202401
0,0,0,0,0,0,0,0,A13923001,0,0,202401
17679000,0,0,78638,0,0,9403,0,A13923102,11326670,0,202401
44347278,0,76811410,203495,0,28183,0,4286,A13923103,968507,21001400,202401
42684057,0,105649180,226679,0,29804,12978,4999,A13923104,13678890,0,202401
17540780,404620,0,80232,0,0,5344,0,A13924205,5651740,0,202401
47214470,0,90027817,221611,0,26366,0,4878,A13972601,882833,20975400,202401
19123205,0,0,79520,0,0,4390,0,A13972602,5470710,0,202401
5207080,0,256527980,0,0,65648,0,8040,A13972603,7280500,35376000,202401
0,0,0,0,0,0,0,0,A13973201,0,0,202401
0,0,0,0,0,0,0,0,A13973202,0,0,202401
26114560,0,54225970,144799,0,16469,9238,2974,A13974101,9312690,11231200,202401
36404381,0,68663957,190427,0,31260,12418,4044,A13974102,12376860,19414230,202401
20701451,-12520,73745190,145915,5903,71562,10018,4290,A13974103,8388390,-66500,202401
0,0,115355350,0,0,1269530,12106,11612,A13977913,120030,34836000,202401
23395894,0,40879370,81947,0,16844,5376,2077,A13980006,6354050,14746700,202401
23511647,208770,0,139881,224,0,132,0,A13980009,128440,0,202401
31176310,0,71317070,137645,0,601858,9392,3879,A13980012,10762940,12780380,202401
10090520,0,2639260,98400,0,57855,4925,2414,A13980017,16219090,457500,202401
77005380,0,139653020,337548,0,84668,27822,10748,A13980019,28391400,69283500,202401
9402971,0,0,38781,0,0,2563,0,A13980102,2900870,0,202401
13400430,0,0,55833,0,0,3431,0,A13980105,3931520,0,202401
21339570,157650,0,101569,0,0,5889,0,A13980108,7243820,0,202401
14011107,0,0,59939,0,0,3824,0,A13980401,4402940,0,202401
14835655,0,0,64220,0,0,3749,0,A13980403,4438170,0,202401
21499890,0,46836846,94342,0,34254,1897,2334,A13980407,2295570,11585000,202401
29602410,0,0,129667,0,0,8240,0,A13980411,9593730,0,202401
70162262,0,0,163593,0,0,10728,0,A13980415,24259730,0,202401
5099250,0,51780910,0,0,16949,4298,1752,A13980509,9309980,0,202401
8786680,0,64094840,0,0,25707,7880,2264,A13980511,9694670,19059600,202401
0,0,33102840,0,0,66932,0,3608,A13980512,90310,16236000,202401
90066331,0,0,436632,0,0,28093,0,A13980513,33841840,0,202401
12308451,0,0,50530,0,0,3026,0,A13980604,3502870,0,202401
12293370,0,0,74118,0,0,3445,0,A13980706,4094180,0,202401
9456459,0,0,40057,0,0,2415,0,A13980801,2728730,0,202401
38529884,0,0,180148,0,0,10962,0,A13981006,12973980,0,202401
77403860,0,599600,228085,0,0,14621,0,A13981208,31507830,0,202401
23297400,1578010,46173890,105921,2000,10704,0,2184,A13981304,1714930,7425600,202401
15114337,0,0,69207,0,0,3882,0,A13981402,4541830,0,202401
27335350,807420,0,180063,0,0,8755,0,A13981405,9310530,0,202401
32165960,0,0,137939,0,0,8305,0,A13981608,9637600,0,202401
40776610,0,78946230,190139,0,30215,0,5744,A13981901,1501725,22976000,202401
92005620,0,213055200,491783,0,92923,0,12770,A13981903,0,70235000,202401
25131360,0,52651980,114807,0,30148,4603,2595,A13982003,5972590,12456000,202401
10718280,0,0,0,0,0,0,0,A13982101,3645690,0,202401
17994500,0,0,78544,0,0,5427,0,A13982103,5688150,0,202401
67307907,0,160526790,367523,0,68816,0,10368,A13982202,1537790,45501560,202401
100327629,0,193974430,456860,0,73181,0,12791,A13982301,3469925,53722200,202401
173151714,0,307587040,821172,0,99097,35711,19480,A13982604,10556520,83374400,202401
105740056,0,237918340,508592,0,180122,0,14185,A13982704,7821380,56740000,202401
32407140,0,56479470,118453,0,20305,0,2492,A13880204,708800,16198000,202401
48344890,4873490,92046110,205063,0,28316,11041,3912,A13880406,13769540,12275850,202401
54156330,0,112476470,241039,0,897,16895,6646,A13880407,17470280,49845000,202401
10307690,0,0,45376,0,0,0,0,A13880602,0,0,202401
62782660,0,104901910,348205,0,989,17688,6818,A13881005,20184120,60642000,202401
56209870,0,108394640,209518,0,36392,10417,3669,A13881103,12749250,0,202401
94696310,0,95420620,488725,0,37774,17350,4553,A13881204,30055400,25092270,202401
21308209,404700,0,88689,0,0,0,0,A13881302,0,0,202401
3502210,114550,0,0,0,0,0,0,A13881401,0,0,202401
18397300,125150,0,78743,0,0,10280,0,A13881601,11330460,0,202401
